roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-191,male,group C,high school,1.0,1.0,87.0,57.0,65.0,60.0,269.0,B,67.25,0,13.573871960498227,1.0,2.0,0,1,0,False
std-192,male,group E,some college,1.0,1.0,45.0,100.0,46.0,73.0,264.0,B,66.0,0,26.115129714401192,1.0,3.0,0,1,1,False
std-193,male,group B,associate's degree,0.0,0.0,32.0,47.0,61.0,61.0,201.0,C,50.25,0,13.841363131329707,0.0,4.0,0,0,1,False
std-194,male,group D,some high school,1.0,1.0,62.0,91.0,89.0,63.0,305.0,B,76.25,0,15.903353943953666,1.0,1.0,0,1,0,False
std-195,male,group E,some high school,1.0,1.0,58.0,88.0,64.0,62.0,272.0,B,68.0,0,13.564659966250536,1.0,1.0,0,1,0,False
std-196,male,group E,bachelor's degree,0.0,1.0,51.0,60.0,54.0,74.0,239.0,C,59.75,0,10.21028892833107,0.5,5.0,0,0,1,False
std-197,male,group D,master's degree,1.0,1.0,45.0,51.0,56.0,74.0,226.0,C,56.5,0,12.503332889007368,1.0,6.0,0,0,1,False
std-198,male,group D,master's degree,1.0,0.0,33.0,63.0,53.0,85.0,234.0,C,58.5,0,21.625602111078127,0.5,6.0,0,0,1,False
std-199,male,group D,some college,1.0,1.0,50.0,91.0,78.0,35.0,254.0,B,63.5,0,25.566905692059542,1.0,3.0,0,1,0,False
std-200,male,group D,bachelor's degree,0.0,0.0,57.0,71.0,42.0,80.0,250.0,B,62.5,0,16.623276853055575,0.0,5.0,0,1,1,False
std-201,male,group C,high school,1.0,1.0,80.0,100.0,84.0,46.0,310.0,B,77.5,0,22.708295107001465,1.0,2.0,0,1,0,False
std-202,male,group A,some college,0.0,0.0,69.0,37.0,37.0,87.0,230.0,C,57.5,0,24.78574859336174,0.0,3.0,0,0,1,False
std-203,male,group D,high school,0.0,0.0,39.0,66.0,51.0,40.0,196.0,D,49.0,1,12.569805089976535,0.0,2.0,0,0,0,False
std-204,male,group C,some high school,1.0,1.0,9.0,95.0,88.0,68.0,260.0,B,65.0,0,39.04698025029166,1.0,1.0,0,1,1,False
std-205,male,group C,master's degree,0.0,1.0,8.0,69.0,61.0,33.0,171.0,D,42.75,1,27.83732506306356,0.5,6.0,0,0,0,False
std-206,male,group E,some high school,0.0,0.0,17.0,76.0,34.0,72.0,199.0,D,49.75,1,28.894924583162812,0.0,1.0,0,0,1,False
std-207,male,group D,bachelor's degree,0.0,1.0,33.0,54.0,63.0,57.0,207.0,C,51.75,0,13.047988350699889,0.5,5.0,0,0,1,False
std-208,male,group D,high school,0.0,1.0,16.0,50.0,81.0,100.0,247.0,C,61.75,0,36.80919269240589,0.5,2.0,0,0,1,False
std-209,male,group B,some high school,0.0,0.0,65.0,92.0,49.0,30.0,236.0,C,59.0,0,26.242459234352765,0.0,1.0,0,0,0,False
std-210,male,group A,high school,1.0,0.0,54.0,85.0,60.0,70.0,269.0,B,67.25,0,13.549292724468438,0.5,2.0,0,1,1,False
std-211,male,,high school,1.0,0.0,19.0,62.0,58.0,74.0,213.0,C,53.25,0,23.824007499439162,0.5,2.0,0,0,1,False
std-212,male,group E,high school,1.0,0.0,51.0,60.0,63.0,47.0,221.0,C,55.25,0,7.5,0.5,2.0,0,0,0,False
std-213,male,group C,associate's degree,,0.0,66.0,95.0,50.0,73.0,284.0,B,71.0,0,18.672618098881223,,4.0,0,1,1,False
std-214,male,group A,some college,0.0,,18.0,72.0,10.0,76.0,176.0,D,44.0,1,34.83293460696835,,3.0,0,0,1,True
std-215,male,group C,master's degree,0.0,0.0,,52.0,47.0,29.0,207.0,C,,0,12.096831541082704,0.0,6.0,0,0,0,False
std-216,male,group C,associate's degree,0.0,1.0,33.0,,74.0,52.0,231.0,C,,0,20.518284528683193,0.5,4.0,0,0,0,False
std-217,male,group B,some college,0.0,0.0,81.0,49.0,,60.0,248.0,C,,0,16.258331197676263,0.0,3.0,0,0,0,False
std-218,male,group C,some college,0.0,0.0,35.0,100.0,47.0,,235.0,C,,0,34.58805188693537,0.0,3.0,0,0,0,False
std-219,male,group C,bachelor's degree,1.0,1.0,49.0,67.0,88.0,70.0,,B,68.5,0,15.968719422671311,1.0,5.0,0,1,1,False
std-220,male,group B,associate's degree,0.0,0.0,75.0,57.0,42.0,53.0,227.0,C,56.75,0,13.720422734012244,0.0,4.0,0,0,0,False
std-221,male,group C,some college,0.0,1.0,40.0,83.0,99.0,100.0,322.0,A,80.5,0,28.101008285587664,0.5,3.0,0,1,1,False
std-222,male,group A,bachelor's degree,1.0,0.0,79.0,100.0,62.0,63.0,304.0,B,76.0,0,17.795130420052185,0.5,5.0,0,1,0,False
std-223,male,group B,bachelor's degree,0.0,1.0,44.0,86.0,65.0,88.0,283.0,B,70.75,0,20.645822822062577,0.5,5.0,0,1,1,False
std-224,male,group D,bachelor's degree,1.0,0.0,20.0,46.0,65.0,15.0,146.0,Fail,36.5,1,23.35950912726264,0.5,5.0,0,0,0,True
std-225,male,group A,some high school,1.0,1.0,16.0,70.0,56.0,77.0,219.0,C,54.75,0,27.268724453727817,1.0,1.0,0,0,1,False
std-226,male,group C,high school,0.0,0.0,65.0,45.0,56.0,45.0,211.0,C,52.75,0,9.673847907287634,0.0,2.0,0,0,0,False
std-227,male,group E,high school,1.0,1.0,68.0,67.0,72.0,30.0,237.0,C,59.25,0,19.619293225462194,1.0,2.0,0,0,0,False
std-228,male,group D,some high school,1.0,1.0,74.0,66.0,51.0,80.0,271.0,B,67.75,0,12.553220038433698,1.0,1.0,0,1,1,False
std-229,male,group C,some college,1.0,0.0,16.0,83.0,66.0,49.0,214.0,C,53.5,0,28.594871335025562,0.5,3.0,0,0,0,False
std-230,male,group B,high school,1.0,1.0,65.0,43.0,84.0,13.0,205.0,C,51.25,0,30.510927004381013,1.0,2.0,0,0,0,False
std-231,male,group D,some college,1.0,1.0,71.0,88.0,72.0,46.0,277.0,B,69.25,0,17.346949779908474,1.0,3.0,0,1,0,False
std-232,male,group D,some college,1.0,1.0,11.0,57.0,91.0,93.0,252.0,B,63.0,0,38.40138886377245,1.0,3.0,0,1,1,False
std-233,male,group C,associate's degree,0.0,0.0,44.0,38.0,82.0,67.0,231.0,C,57.75,0,20.434855843223687,0.0,4.0,0,0,1,False
std-234,male,group C,some college,0.0,0.0,12.0,64.0,74.0,92.0,242.0,C,60.5,0,34.346275877694026,0.0,3.0,0,0,1,False
std-235,male,group E,associate's degree,0.0,0.0,11.0,93.0,56.0,92.0,252.0,B,63.0,0,38.704004960727254,0.0,4.0,0,1,1,False
std-236,male,group E,associate's degree,0.0,0.0,54.0,75.0,79.0,58.0,266.0,B,66.5,0,12.342339054382412,0.0,4.0,0,1,0,False
std-237,male,group D,associate's degree,1.0,0.0,21.0,58.0,68.0,65.0,212.0,C,53.0,0,21.740898478827106,0.5,4.0,0,0,1,False
std-238,male,group E,some college,1.0,0.0,48.0,74.0,58.0,52.0,232.0,C,58.0,0,11.430952132988164,0.5,3.0,0,0,0,False
std-239,male,group C,some college,0.0,0.0,40.0,51.0,51.0,74.0,216.0,C,54.0,0,14.30617582258329,0.0,3.0,0,0,1,False
std-240,male,group C,high school,0.0,0.0,79.0,74.0,62.0,62.0,277.0,B,69.25,0,8.616843969807043,0.0,2.0,0,1,0,False
std-241,male,group E,bachelor's degree,1.0,1.0,77.0,72.0,94.0,63.0,306.0,B,76.5,0,13.025615788386615,1.0,5.0,0,1,0,False
std-242,male,group C,some college,1.0,0.0,19.0,63.0,69.0,58.0,209.0,C,52.25,0,22.61820800446696,0.5,3.0,0,0,1,False
std-243,male,group E,some college,1.0,0.0,74.0,77.0,63.0,68.0,282.0,B,70.5,0,6.244997998398398,0.5,3.0,0,1,0,False
std-244,male,group C,some college,0.0,0.0,52.0,66.0,,,263.0,B,,0,9.899494936611665,0.0,3.0,0,1,0,False
std-245,male,group D,some college,1.0,1.0,51.0,,61.0,80.0,265.0,B,,0,14.730919862656235,1.0,3.0,0,1,0,False
std-246,male,group D,bachelor's degree,1.0,1.0,,77.0,77.0,49.0,260.0,B,,0,16.165807537309522,1.0,5.0,0,1,0,False
std-247,male,group E,bachelor's degree,1.0,,39.0,79.0,62.0,49.0,229.0,C,57.25,0,17.289206652321173,,5.0,0,0,0,False
std-248,male,group C,bachelor's degree,,0.0,43.0,100.0,73.0,42.0,258.0,B,64.5,0,27.694764848252458,,5.0,0,1,0,False
std-249,male,group C,,0.0,1.0,24.0,52.0,54.0,91.0,221.0,C,55.25,0,27.487876115359175,0.5,,0,0,1,False
std-250,male,,high school,0.0,0.0,26.0,63.0,96.0,42.0,227.0,C,56.75,0,30.236567265481707,0.0,2.0,0,0,0,False
std-251,,group D,some high school,1.0,1.0,68.0,53.0,100.0,41.0,262.0,B,65.5,0,25.514701644346147,1.0,1.0,0,1,0,False
std-252,male,group B,high school,1.0,0.0,72.0,100.0,100.0,46.0,318.0,B,79.5,0,25.942243542145693,0.5,2.0,0,1,0,False
std-253,male,group A,high school,0.0,1.0,43.0,81.0,89.0,68.0,281.0,B,70.25,0,20.12254125767088,0.5,2.0,0,1,0,False
std-254,male,group E,high school,0.0,0.0,68.0,41.0,42.0,54.0,205.0,C,51.25,0,12.632629707758133,0.0,2.0,0,0,1,False
std-255,male,group C,high school,1.0,0.0,44.0,70.0,59.0,65.0,238.0,C,59.5,0,11.269427669584644,0.5,2.0,0,0,1,False
std-256,male,group C,some college,0.0,1.0,83.0,39.0,56.0,36.0,214.0,C,53.5,0,21.548395145191982,0.5,3.0,0,0,0,False
std-257,male,group E,high school,1.0,1.0,60.0,80.0,74.0,71.0,285.0,B,71.25,0,8.381527307120106,1.0,2.0,0,1,0,False
std-258,male,group A,some college,1.0,0.0,82.0,100.0,75.0,71.0,328.0,A,82.0,0,12.832251036613439,0.5,3.0,0,1,0,False
std-259,male,group E,bachelor's degree,1.0,0.0,22.0,65.0,48.0,50.0,185.0,D,46.25,1,17.858238061652855,0.5,5.0,0,0,1,False
std-260,male,group E,master's degree,1.0,1.0,83.0,52.0,92.0,77.0,304.0,B,76.0,0,17.146428199482248,1.0,6.0,0,1,1,False
std-261,male,group D,some high school,0.0,0.0,99.0,78.0,81.0,97.0,355.0,A,88.75,0,10.781929326423912,0.0,1.0,0,1,1,False
std-262,male,group B,bachelor's degree,1.0,0.0,79.0,73.0,94.0,78.0,324.0,A,81.0,0,9.055385138137417,0.5,5.0,0,1,0,False
std-263,male,group C,high school,1.0,0.0,55.0,52.0,87.0,54.0,248.0,C,62.0,0,16.713268182295565,0.5,2.0,0,0,0,False
std-264,male,group E,associate's degree,0.0,0.0,39.0,89.0,55.0,77.0,260.0,B,65.0,0,22.3308456325923,0.0,4.0,0,1,1,False
std-265,male,group D,some college,1.0,1.0,69.0,76.0,60.0,73.0,278.0,B,69.5,0,6.95221787153807,1.0,3.0,0,1,1,False
std-266,male,group E,high school,1.0,0.0,50.0,65.0,59.0,64.0,238.0,C,59.5,0,6.855654600401044,0.5,2.0,0,0,1,False
std-267,male,group D,associate's degree,0.0,0.0,89.0,74.0,70.0,67.0,300.0,B,75.0,0,9.763879010584539,0.0,4.0,0,1,0,False
std-268,male,group C,associate's degree,1.0,1.0,60.0,93.0,63.0,47.0,263.0,B,65.75,0,19.448650338776723,1.0,4.0,0,1,0,False
std-269,male,group D,associate's degree,1.0,0.0,53.0,94.0,92.0,63.0,302.0,B,75.5,0,20.631690833925045,0.5,4.0,0,1,0,False
std-270,male,group C,some high school,1.0,0.0,72.0,98.0,73.0,77.0,320.0,A,80.0,0,12.192894105447921,0.5,1.0,0,1,0,False
std-271,male,group A,high school,1.0,1.0,0.0,85.0,99.0,47.0,231.0,C,57.75,0,44.32738055273136,1.0,2.0,0,0,0,False
std-272,male,group E,some high school,0.0,0.0,83.0,78.0,78.0,86.0,325.0,A,81.25,0,3.947573094109004,0.0,1.0,0,1,1,False
std-273,male,group D,bachelor's degree,1.0,0.0,72.0,60.0,75.0,54.0,261.0,B,65.25,0,9.912113800799505,0.5,5.0,0,1,0,False
std-274,male,group A,master's degree,1.0,0.0,49.0,88.0,75.0,42.0,254.0,B,63.5,0,21.641010450839243,0.5,6.0,0,1,0,False
std-275,male,group B,high school,1.0,0.0,16.0,50.0,58.0,40.0,164.0,D,41.0,1,18.2208671582886,0.5,2.0,0,0,0,False
std-276,male,group B,master's degree,1.0,0.0,78.0,60.0,50.0,75.0,263.0,B,65.75,0,13.124404748406688,0.5,6.0,0,1,1,False
std-277,male,group D,bachelor's degree,0.0,1.0,41.0,66.0,52.0,45.0,204.0,C,51.0,0,10.98483803552272,0.5,5.0,0,0,0,False
std-278,male,group B,associate's degree,1.0,0.0,33.0,65.0,61.0,59.0,218.0,C,54.5,0,14.548768561863463,0.5,4.0,0,0,1,False
std-279,male,group D,some college,0.0,0.0,58.0,64.0,70.0,38.0,230.0,C,57.5,0,13.892443989449804,0.0,3.0,0,0,0,False
std-280,male,group C,bachelor's degree,0.0,0.0,23.0,72.0,90.0,55.0,240.0,C,60.0,0,28.5073090043004,0.0,5.0,0,0,0,False
std-281,male,group B,high school,1.0,0.0,46.0,92.0,52.0,32.0,222.0,C,55.5,0,25.73583752927682,0.5,2.0,0,0,0,False
std-282,male,group D,high school,1.0,1.0,20.0,74.0,34.0,29.0,157.0,D,39.25,1,23.879907872519105,1.0,2.0,0,0,0,False
std-283,male,group D,bachelor's degree,1.0,0.0,17.0,55.0,44.0,31.0,147.0,Fail,36.75,1,16.418993066973787,0.5,5.0,0,0,0,True
std-284,male,group D,associate's degree,1.0,0.0,25.0,71.0,59.0,69.0,224.0,C,56.0,0,21.322914122292634,0.5,4.0,0,0,1,False
std-285,male,group C,bachelor's degree,1.0,1.0,70.0,48.0,79.0,65.0,262.0,B,65.5,0,13.025615788386615,1.0,5.0,0,1,0,False
std-286,male,group D,some college,0.0,0.0,46.0,69.0,70.0,44.0,229.0,C,57.25,0,14.174507634012077,0.0,3.0,0,0,0,False
std-287,male,group E,some college,1.0,1.0,41.0,61.0,69.0,44.0,215.0,C,53.75,0,13.450526631573451,1.0,3.0,0,0,0,False
std-288,male,group C,high school,1.0,0.0,69.0,36.0,65.0,94.0,264.0,B,66.0,0,23.762715894162152,0.5,2.0,0,1,1,False
std-289,male,group B,bachelor's degree,1.0,0.0,61.0,40.0,72.0,44.0,217.0,C,54.25,0,14.930394055974098,0.5,5.0,0,0,0,False
std-290,male,group B,high school,1.0,0.0,68.0,100.0,100.0,62.0,330.0,A,82.5,0,20.355179521029367,0.5,2.0,0,1,0,False
std-291,male,group B,master's degree,0.0,0.0,68.0,65.0,76.0,59.0,268.0,B,67.0,0,7.0710678118654755,0.0,6.0,0,1,0,False
std-292,male,group D,associate's degree,1.0,0.0,41.0,35.0,66.0,37.0,179.0,D,44.75,1,14.38459824488215,0.5,4.0,0,0,0,False
std-293,male,group D,bachelor's degree,1.0,1.0,24.0,33.0,47.0,11.0,115.0,Fail,28.75,1,15.152007567755943,1.0,5.0,0,0,0,True
std-294,male,group E,bachelor's degree,0.0,0.0,48.0,94.0,100.0,49.0,291.0,B,72.75,0,28.111385593741193,0.0,5.0,0,1,0,False
std-295,male,group D,master's degree,1.0,1.0,54.0,86.0,87.0,48.0,275.0,B,68.75,0,20.645822822062577,1.0,6.0,0,1,0,False
std-296,male,group C,associate's degree,1.0,1.0,37.0,100.0,96.0,64.0,297.0,B,74.25,0,29.60152023123137,1.0,4.0,0,1,0,False
std-297,male,group B,associate's degree,1.0,0.0,40.0,59.0,75.0,39.0,213.0,C,53.25,0,17.173137938847013,0.5,4.0,0,0,0,False
std-298,male,group C,bachelor's degree,1.0,0.0,49.0,98.0,79.0,69.0,295.0,B,73.75,0,20.41853732926692,0.5,5.0,0,1,0,False
std-299,male,group B,bachelor's degree,0.0,0.0,73.0,79.0,56.0,66.0,274.0,B,68.5,0,9.882644720249063,0.0,5.0,0,1,0,False
std-300,male,group C,high school,0.0,0.0,67.0,100.0,64.0,80.0,311.0,B,77.75,0,16.3783393541592,0.0,2.0,0,1,1,False
std-301,male,group D,master's degree,1.0,0.0,44.0,17.0,57.0,64.0,182.0,D,45.5,1,20.728402414722336,0.5,6.0,0,0,1,False
std-302,male,group C,some high school,0.0,0.0,47.0,85.0,65.0,25.0,222.0,C,55.5,0,25.579940057266228,0.0,1.0,0,0,0,False
std-303,male,group D,bachelor's degree,1.0,0.0,75.0,96.0,100.0,100.0,371.0,A,92.75,0,11.98262631201246,0.5,5.0,0,1,1,False
std-304,male,group A,associate's degree,0.0,1.0,39.0,82.0,53.0,73.0,247.0,C,61.75,0,19.414341777836988,0.5,4.0,0,0,1,False
std-305,male,group B,high school,0.0,1.0,44.0,76.0,53.0,10.0,183.0,D,45.75,1,27.378519560658013,0.5,2.0,0,0,0,True
std-306,male,group B,high school,1.0,0.0,37.0,100.0,70.0,87.0,294.0,B,73.5,0,27.258026340878022,0.5,2.0,0,1,1,False
std-307,male,group A,bachelor's degree,1.0,1.0,58.0,69.0,86.0,50.0,263.0,B,65.75,0,15.58578412100805,1.0,5.0,0,1,0,False
std-308,male,group E,bachelor's degree,1.0,0.0,72.0,62.0,48.0,82.0,264.0,B,66.0,0,14.514360704718161,0.5,5.0,0,1,1,False
std-309,male,group E,some college,0.0,0.0,26.0,76.0,85.0,59.0,246.0,C,61.5,0,26.00640946638604,0.0,3.0,0,0,0,False
std-310,male,group C,associate's degree,0.0,0.0,25.0,44.0,56.0,39.0,164.0,D,41.0,1,12.832251036613439,0.0,4.0,0,0,0,False
std-311,male,group C,some high school,1.0,0.0,59.0,100.0,69.0,75.0,303.0,B,75.75,0,17.461863207191456,0.5,1.0,0,1,0,False
std-312,male,group C,some high school,1.0,0.0,98.0,100.0,95.0,67.0,360.0,A,90.0,0,15.470401847829724,0.5,1.0,0,1,0,False
std-313,male,group B,bachelor's degree,0.0,1.0,63.0,100.0,55.0,38.0,256.0,B,64.0,0,26.166135875720485,0.5,5.0,0,1,0,False
std-314,male,group E,high school,1.0,0.0,64.0,99.0,77.0,89.0,329.0,A,82.25,0,15.129992289048486,0.5,2.0,0,1,1,False
std-315,male,group C,some college,0.0,0.0,25.0,51.0,95.0,48.0,219.0,C,54.75,0,29.23895802977026,0.0,3.0,0,0,0,False
std-316,male,group C,associate's degree,1.0,1.0,75.0,67.0,80.0,49.0,271.0,B,67.75,0,13.59840676942217,1.0,4.0,0,1,0,False
std-317,male,group B,some college,0.0,1.0,17.0,68.0,69.0,23.0,177.0,D,44.25,1,28.111385593741193,0.5,3.0,0,0,0,False
std-318,male,group D,bachelor's degree,0.0,1.0,69.0,57.0,79.0,64.0,269.0,B,67.25,0,9.251126057585278,0.5,5.0,0,1,0,False
std-319,male,group D,master's degree,0.0,1.0,29.0,93.0,69.0,60.0,251.0,B,62.75,0,26.462237244798484,0.5,6.0,0,1,0,False
std-320,male,group D,some college,1.0,0.0,37.0,44.0,62.0,69.0,212.0,C,53.0,0,14.98888477061141,0.5,3.0,0,0,1,False
std-321,male,group D,associate's degree,0.0,0.0,49.0,62.0,16.0,75.0,202.0,C,50.5,0,25.331140255951105,0.0,4.0,0,0,1,True
std-322,male,group E,associate's degree,0.0,1.0,98.0,60.0,70.0,69.0,297.0,B,74.25,0,16.45954636879968,0.5,4.0,0,1,0,False
std-323,male,group D,master's degree,1.0,0.0,30.0,63.0,73.0,43.0,209.0,C,52.25,0,19.379972480200617,0.5,6.0,0,0,0,False
std-324,male,group E,master's degree,0.0,1.0,71.0,100.0,73.0,40.0,284.0,B,71.0,0,24.535688292770594,0.5,6.0,0,1,0,False
std-325,male,group C,high school,0.0,0.0,39.0,58.0,34.0,46.0,177.0,D,44.25,1,10.404326023342406,0.0,2.0,0,0,1,False
std-326,male,group D,some high school,0.0,1.0,19.0,46.0,67.0,9.0,141.0,Fail,35.25,1,26.31064423384574,0.5,1.0,0,0,0,True
std-327,male,group B,master's degree,1.0,1.0,35.0,95.0,57.0,57.0,244.0,C,61.0,0,24.926558794453225,1.0,6.0,0,0,0,False
std-328,male,group C,some high school,1.0,0.0,42.0,100.0,100.0,80.0,322.0,A,80.5,0,27.34349404642111,0.5,1.0,0,1,0,False
std-329,male,group B,associate's degree,1.0,1.0,86.0,71.0,59.0,47.0,263.0,B,65.75,0,16.680827317612277,1.0,4.0,0,1,0,False
std-330,male,group B,bachelor's degree,1.0,1.0,46.0,94.0,100.0,64.0,304.0,B,76.0,0,25.45584412271571,1.0,5.0,0,1,0,False
std-331,male,group D,bachelor's degree,0.0,1.0,77.0,75.0,63.0,32.0,247.0,C,61.75,0,20.774583830568865,0.5,5.0,0,0,0,False
std-332,male,group E,some college,1.0,1.0,79.0,44.0,70.0,78.0,271.0,B,67.75,0,16.33758448078132,1.0,3.0,0,1,1,False
std-333,male,group B,some college,1.0,1.0,62.0,83.0,55.0,58.0,258.0,B,64.5,0,12.662279942148386,1.0,3.0,0,1,0,False
std-334,male,group C,bachelor's degree,1.0,0.0,57.0,92.0,96.0,79.0,324.0,A,81.0,0,17.568911937472585,0.5,5.0,0,1,0,False
std-335,male,group A,some high school,0.0,1.0,30.0,59.0,48.0,42.0,179.0,D,44.75,1,12.093386622447824,0.5,1.0,0,0,0,False
std-336,male,group C,some high school,0.0,1.0,45.0,74.0,59.0,100.0,278.0,B,69.5,0,23.530122538284125,0.5,1.0,0,1,1,False
std-337,male,group A,high school,1.0,0.0,77.0,96.0,58.0,90.0,321.0,A,80.25,0,16.82012683265696,0.5,2.0,0,1,1,False
std-338,male,group D,high school,1.0,1.0,43.0,35.0,80.0,82.0,240.0,C,60.0,0,24.48128536930472,1.0,2.0,0,0,1,False
std-339,male,group A,some high school,0.0,0.0,31.0,78.0,34.0,47.0,190.0,D,47.5,1,21.486429825977762,0.0,1.0,0,0,0,False
std-340,male,group C,high school,1.0,0.0,30.0,100.0,87.0,54.0,271.0,B,67.75,0,31.752952618614856,0.5,2.0,0,1,0,False
std-341,male,group C,high school,0.0,0.0,61.0,89.0,79.0,80.0,309.0,B,77.25,0,11.729592206608606,0.0,2.0,0,1,1,False
std-342,male,group D,high school,1.0,1.0,61.0,89.0,86.0,71.0,307.0,B,76.75,0,13.124404748406688,1.0,2.0,0,1,0,False
std-343,male,group E,some high school,1.0,0.0,92.0,70.0,45.0,69.0,276.0,B,69.0,0,19.200694431886227,0.5,1.0,0,1,0,False
std-344,male,group B,some college,1.0,0.0,50.0,78.0,54.0,69.0,251.0,B,62.75,0,13.047988350699889,0.5,3.0,0,1,1,False
std-345,male,group B,bachelor's degree,0.0,1.0,75.0,86.0,63.0,56.0,280.0,B,70.0,0,13.241349377360804,0.5,5.0,0,1,0,False
std-346,male,group D,associate's degree,1.0,0.0,43.0,51.0,83.0,64.0,241.0,C,60.25,0,17.461863207191456,0.5,4.0,0,0,1,False
std-347,male,group A,high school,1.0,0.0,64.0,71.0,69.0,64.0,268.0,B,67.0,0,3.559026084010437,0.5,2.0,0,1,0,False
std-348,male,group C,associate's degree,1.0,0.0,19.0,17.0,83.0,63.0,182.0,D,45.5,1,32.79735761714146,0.5,4.0,0,0,1,False
std-349,male,group C,associate's degree,1.0,0.0,17.0,82.0,65.0,89.0,253.0,B,63.25,0,32.438403166617185,0.5,4.0,0,1,1,False
std-350,male,group B,high school,0.0,1.0,68.0,100.0,77.0,89.0,334.0,A,83.5,0,13.96424004376894,0.5,2.0,0,1,1,False
std-351,male,group C,high school,0.0,0.0,54.0,79.0,36.0,94.0,263.0,B,65.75,0,25.798901785411978,0.0,2.0,0,1,1,False
std-352,male,group C,associate's degree,0.0,0.0,79.0,91.0,83.0,66.0,319.0,B,79.75,0,10.436314802968846,0.0,4.0,0,1,0,False
std-353,male,group D,high school,0.0,1.0,51.0,44.0,67.0,82.0,244.0,C,61.0,0,16.990193249832878,0.5,2.0,0,0,1,False
std-354,male,group D,high school,1.0,0.0,24.0,81.0,53.0,45.0,203.0,C,50.75,0,23.58495283014151,0.5,2.0,0,0,0,False
std-355,male,group B,associate's degree,0.0,1.0,79.0,67.0,76.0,54.0,276.0,B,69.0,0,11.224972160321824,0.5,4.0,0,1,0,False
std-356,male,group B,high school,1.0,0.0,19.0,78.0,56.0,75.0,228.0,C,57.0,0,27.141603981096377,0.5,2.0,0,0,1,False
std-357,male,group B,some college,1.0,0.0,52.0,76.0,68.0,59.0,255.0,B,63.75,0,10.468205831628136,0.5,3.0,0,1,0,False
std-358,male,group D,some college,0.0,0.0,28.0,75.0,30.0,32.0,165.0,D,41.25,1,22.559181427229728,0.0,3.0,0,0,0,False
std-359,male,group C,high school,0.0,0.0,86.0,66.0,43.0,12.0,207.0,C,51.75,0,31.79491573611521,0.0,2.0,0,0,0,False
std-360,male,group C,some high school,1.0,0.0,50.0,100.0,76.0,62.0,288.0,B,72.0,0,21.47867159144935,0.5,1.0,0,1,0,False
std-361,male,group C,associate's degree,1.0,1.0,50.0,55.0,66.0,79.0,250.0,B,62.5,0,12.871156384205214,1.0,4.0,0,1,1,False
std-362,male,group C,high school,1.0,0.0,20.0,47.0,54.0,61.0,182.0,D,45.5,1,17.935068069752806,0.5,2.0,0,0,1,False
std-363,male,group D,bachelor's degree,1.0,1.0,17.0,81.0,52.0,90.0,240.0,C,60.0,0,32.93427798915086,1.0,5.0,0,0,1,False
std-364,male,group B,bachelor's degree,1.0,0.0,57.0,73.0,87.0,91.0,308.0,B,77.0,0,15.405626677721791,0.5,5.0,0,1,1,False
std-365,male,group B,associate's degree,1.0,1.0,47.0,60.0,100.0,76.0,283.0,B,70.75,0,22.82359889821644,1.0,4.0,0,1,1,False
std-366,male,group C,some college,1.0,1.0,94.0,63.0,72.0,97.0,326.0,A,81.5,0,16.623276853055575,1.0,3.0,0,1,1,False
std-367,male,group D,associate's degree,1.0,0.0,46.0,31.0,69.0,49.0,195.0,D,48.75,1,15.628499608087784,0.5,4.0,0,0,1,False
std-368,male,group D,some high school,1.0,1.0,70.0,84.0,96.0,81.0,331.0,A,82.75,0,10.688779163215974,1.0,1.0,0,1,0,False
std-369,male,group C,some college,0.0,1.0,31.0,26.0,76.0,54.0,187.0,D,46.75,1,22.998188334446404,0.5,3.0,0,0,1,False
std-370,male,group B,bachelor's degree,1.0,0.0,87.0,78.0,100.0,47.0,312.0,B,78.0,0,22.55363976538303,0.5,5.0,0,1,0,False
std-371,male,group B,master's degree,0.0,0.0,24.0,54.0,55.0,83.0,216.0,C,54.0,0,24.097026095903757,0.0,6.0,0,0,1,False
std-372,male,group D,high school,0.0,1.0,71.0,97.0,86.0,83.0,337.0,A,84.25,0,10.688779163215974,0.5,2.0,0,1,0,False
std-373,male,group C,high school,1.0,0.0,59.0,34.0,93.0,46.0,232.0,C,58.0,0,25.468935326524086,0.5,2.0,0,0,0,False
std-374,male,group C,some college,1.0,0.0,36.0,43.0,26.0,45.0,150.0,D,37.5,1,8.582928793055823,0.5,3.0,0,0,1,True
std-375,male,group C,associate's degree,0.0,1.0,59.0,65.0,51.0,58.0,233.0,C,58.25,0,5.737304826019502,0.5,4.0,0,0,0,False
std-376,male,group D,associate's degree,0.0,1.0,25.0,88.0,91.0,89.0,293.0,B,73.25,0,32.190837205639745,0.5,4.0,0,1,1,False
std-377,male,group C,some high school,1.0,1.0,6.0,60.0,79.0,38.0,183.0,D,45.75,1,31.35150182473986,1.0,1.0,0,0,0,False
std-378,male,group E,some high school,1.0,1.0,43.0,82.0,85.0,35.0,245.0,C,61.25,0,25.927784324928346,1.0,1.0,0,0,0,False
std-379,male,group A,some college,1.0,0.0,60.0,63.0,95.0,53.0,271.0,B,67.75,0,18.64358692240668,0.5,3.0,0,1,0,False
